Date,Price,Open,High,Low,Change %
10/13/2020,"4,545.18","4,532.82","4,550.58","4,532.33",0.27%
10/12/2020,"4,532.82","4,491.60","4,533.63","4,491.60",0.89%
10/11/2020,"4,492.64","4,512.74","4,514.46","4,489.30",-0.44%
10/08/2020,"4,512.51","4,492.44","4,512.51","4,489.56",0.40%
10/07/2020,"4,494.53","4,486.86","4,494.68","4,483.13",0.26%
10/06/2020,"4,482.78","4,489.97","4,502.18","4,479.59",-0.11%
10/05/2020,"4,487.74","4,493.13","4,505.80","4,486.20",-0.11%
10/04/2020,"4,492.90","4,491.18","4,496.11","4,482.84",0.02%
10/01/2020,"4,492.02","4,518.30","4,518.30","4,488.80",-0.58%
09/30/2020,"4,518.06","4,495.22","4,518.83","4,489.57",0.52%
09/29/2020,"4,494.75","4,492.18","4,509.04","4,492.18",0.06%
09/28/2020,"4,492.18","4,485.42","4,508.13","4,485.15",0.14%
09/27/2020,"4,485.84","4,466.55","4,491.32","4,461.04",0.43%
09/24/2020,"4,466.82","4,489.21","4,489.21","4,462.35",-0.52%
09/23/2020,"4,490.23","4,498.74","4,521.16","4,489.47",-0.18%
09/22/2020,"4,498.23","4,491.35","4,519.75","4,483.43",0.13%
09/21/2020,"4,492.19","4,546.16","4,547.54","4,492.02",-1.19%
09/20/2020,"4,546.16","4,512.29","4,546.16","4,502.18",0.79%
09/17/2020,"4,510.60","4,504.31","4,512.79","4,485.69",0.12%
